Candidate_ID,Pred_pChEMBL_Mean,Epistemic_Uncertainty_Std,Confidence_Group
WT_Cand_11212,6.756,0.065,High-Confidence (Std <= 0.20)
WT_Cand_11213,7.627,0.163,High-Confidence (Std <= 0.20)
WT_Cand_11214,7.514,0.117,High-Confidence (Std <= 0.20)
WT_Cand_11215,7.433,0.008,High-Confidence (Std <= 0.20)
WT_Cand_11216,8.129,0.163,High-Confidence (Std <= 0.20)
WT_Cand_11217,8.12,0.052,High-Confidence (Std <= 0.20)
WT_Cand_11218,6.704,0.292,Low-Confidence (Filtered Out)
WT_Cand_11219,7.588,0.062,High-Confidence (Std <= 0.20)
WT_Cand_11220,6.409,0.075,High-Confidence (Std <= 0.20)
WT_Cand_11221,5.788,0.238,Low-Confidence (Filtered Out)
WT_Cand_11222,6.54,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11223,6.762,0.049,High-Confidence (Std <= 0.20)
WT_Cand_11224,4.939,0.202,Low-Confidence (Filtered Out)
WT_Cand_11225,7.839,0.729,Low-Confidence (Filtered Out)
WT_Cand_11226,3.668,0.061,High-Confidence (Std <= 0.20)
WT_Cand_11227,9.972,0.263,Low-Confidence (Filtered Out)
WT_Cand_11228,8.577,0.227,Low-Confidence (Filtered Out)
WT_Cand_11229,6.55,0.626,Low-Confidence (Filtered Out)
WT_Cand_11230,6.861,0.347,Low-Confidence (Filtered Out)
WT_Cand_11231,7.198,0.128,High-Confidence (Std <= 0.20)
WT_Cand_11232,6.172,0.198,High-Confidence (Std <= 0.20)
WT_Cand_11233,7.072,0.015,High-Confidence (Std <= 0.20)
WT_Cand_11234,6.684,0.412,Low-Confidence (Filtered Out)
WT_Cand_11235,6.742,0.028,High-Confidence (Std <= 0.20)
WT_Cand_11236,7.059,0.196,High-Confidence (Std <= 0.20)
WT_Cand_11237,5.339,0.195,High-Confidence (Std <= 0.20)
WT_Cand_11238,6.896,0.226,Low-Confidence (Filtered Out)
WT_Cand_11239,7.038,0.047,High-Confidence (Std <= 0.20)
WT_Cand_11240,6.998,0.127,High-Confidence (Std <= 0.20)
WT_Cand_11241,6.602,0.246,Low-Confidence (Filtered Out)
WT_Cand_11242,8.159,0.227,Low-Confidence (Filtered Out)
WT_Cand_11243,6.443,0.595,Low-Confidence (Filtered Out)
WT_Cand_11244,7.111,0.391,Low-Confidence (Filtered Out)
WT_Cand_11245,8.342,0.115,High-Confidence (Std <= 0.20)
WT_Cand_11246,6.759,0.111,High-Confidence (Std <= 0.20)
WT_Cand_11247,7.097,0.058,High-Confidence (Std <= 0.20)
WT_Cand_11248,6.739,0.231,Low-Confidence (Filtered Out)
WT_Cand_11249,8.273,0.015,High-Confidence (Std <= 0.20)
WT_Cand_11250,6.554,0.019,High-Confidence (Std <= 0.20)
WT_Cand_11251,8.326,0.212,Low-Confidence (Filtered Out)
WT_Cand_11252,6.731,0.315,Low-Confidence (Filtered Out)
WT_Cand_11253,5.862,0.067,High-Confidence (Std <= 0.20)
WT_Cand_11254,7.631,0.249,Low-Confidence (Filtered Out)
WT_Cand_11255,6.5,0.447,Low-Confidence (Filtered Out)
WT_Cand_11256,7.564,0.298,Low-Confidence (Filtered Out)
WT_Cand_11257,3.711,0.187,High-Confidence (Std <= 0.20)
WT_Cand_11258,6.856,0.207,Low-Confidence (Filtered Out)
WT_Cand_11259,6.321,0.239,Low-Confidence (Filtered Out)
WT_Cand_11260,5.627,0.153,High-Confidence (Std <= 0.20)
WT_Cand_11261,6.214,0.091,High-Confidence (Std <= 0.20)
WT_Cand_11262,6.19,0.16,High-Confidence (Std <= 0.20)
WT_Cand_11263,6.795,0.085,High-Confidence (Std <= 0.20)
WT_Cand_11264,5.278,0.304,Low-Confidence (Filtered Out)
WT_Cand_11265,7.214,0.153,High-Confidence (Std <= 0.20)
WT_Cand_11266,8.421,0.059,High-Confidence (Std <= 0.20)
WT_Cand_11267,7.173,0.114,High-Confidence (Std <= 0.20)
WT_Cand_11268,7.78,0.063,High-Confidence (Std <= 0.20)
WT_Cand_11269,8.109,0.459,Low-Confidence (Filtered Out)
WT_Cand_11270,8.272,0.291,Low-Confidence (Filtered Out)
WT_Cand_11271,9.001,0.097,High-Confidence (Std <= 0.20)
WT_Cand_11272,6.276,0.08,High-Confidence (Std <= 0.20)
WT_Cand_11273,6.024,0.096,High-Confidence (Std <= 0.20)
WT_Cand_11274,7.751,0.029,High-Confidence (Std <= 0.20)
WT_Cand_11275,7.665,0.162,High-Confidence (Std <= 0.20)
WT_Cand_11276,7.742,0.037,High-Confidence (Std <= 0.20)
WT_Cand_11277,9.023,0.137,High-Confidence (Std <= 0.20)
WT_Cand_11278,6.863,0.288,Low-Confidence (Filtered Out)
WT_Cand_11279,7.34,0.433,Low-Confidence (Filtered Out)
WT_Cand_11280,5.723,0.085,High-Confidence (Std <= 0.20)
WT_Cand_11281,9.306,0.079,High-Confidence (Std <= 0.20)
WT_Cand_11282,6.463,0.025,High-Confidence (Std <= 0.20)
WT_Cand_11283,6.496,0.237,Low-Confidence (Filtered Out)
WT_Cand_11284,6.451,0.14,High-Confidence (Std <= 0.20)
WT_Cand_11285,6.108,0.065,High-Confidence (Std <= 0.20)
WT_Cand_11286,6.011,0.074,High-Confidence (Std <= 0.20)
WT_Cand_11287,6.248,0.335,Low-Confidence (Filtered Out)
WT_Cand_11288,5.279,0.005,High-Confidence (Std <= 0.20)
WT_Cand_11289,5.947,0.386,Low-Confidence (Filtered Out)
WT_Cand_11290,9.091,0.057,High-Confidence (Std <= 0.20)
WT_Cand_11291,7.696,0.264,Low-Confidence (Filtered Out)
WT_Cand_11292,7.915,0.04,High-Confidence (Std <= 0.20)
WT_Cand_11293,8.204,0.195,High-Confidence (Std <= 0.20)
WT_Cand_11294,8.959,0.116,High-Confidence (Std <= 0.20)
WT_Cand_11295,4.813,0.379,Low-Confidence (Filtered Out)
WT_Cand_11296,5.436,0.112,High-Confidence (Std <= 0.20)
WT_Cand_11297,5.926,0.411,Low-Confidence (Filtered Out)
WT_Cand_11298,6.31,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11299,6.504,0.251,Low-Confidence (Filtered Out)
WT_Cand_11300,6.336,0.296,Low-Confidence (Filtered Out)
WT_Cand_11301,7.102,0.109,High-Confidence (Std <= 0.20)
WT_Cand_11302,6.891,0.143,High-Confidence (Std <= 0.20)
WT_Cand_11303,6.019,0.027,High-Confidence (Std <= 0.20)
WT_Cand_11304,4.348,0.179,High-Confidence (Std <= 0.20)
WT_Cand_11305,5.708,0.265,Low-Confidence (Filtered Out)
WT_Cand_11306,6.218,0.443,Low-Confidence (Filtered Out)
WT_Cand_11307,6.566,0.283,Low-Confidence (Filtered Out)
WT_Cand_11308,5.551,0.164,High-Confidence (Std <= 0.20)
WT_Cand_11309,6.286,0.104,High-Confidence (Std <= 0.20)
WT_Cand_11310,5.549,0.131,High-Confidence (Std <= 0.20)
WT_Cand_11311,6.705,0.112,High-Confidence (Std <= 0.20)
WT_Cand_11312,5.616,0.311,Low-Confidence (Filtered Out)
WT_Cand_11313,5.874,0.385,Low-Confidence (Filtered Out)
WT_Cand_11314,5.345,0.11,High-Confidence (Std <= 0.20)
WT_Cand_11315,6.673,0.218,Low-Confidence (Filtered Out)
WT_Cand_11316,5.854,0.124,High-Confidence (Std <= 0.20)
WT_Cand_11317,7.893,0.019,High-Confidence (Std <= 0.20)
WT_Cand_11318,7.317,0.036,High-Confidence (Std <= 0.20)
WT_Cand_11319,6.77,0.061,High-Confidence (Std <= 0.20)
WT_Cand_11320,5.933,0.124,High-Confidence (Std <= 0.20)
WT_Cand_11321,7.288,0.17,High-Confidence (Std <= 0.20)
WT_Cand_11322,7.644,0.448,Low-Confidence (Filtered Out)
WT_Cand_11323,7.014,0.147,High-Confidence (Std <= 0.20)
WT_Cand_11324,8.694,0.153,High-Confidence (Std <= 0.20)
WT_Cand_11325,7.379,0.264,Low-Confidence (Filtered Out)
WT_Cand_11326,7.901,0.04,High-Confidence (Std <= 0.20)
WT_Cand_11327,7.004,0.173,High-Confidence (Std <= 0.20)
WT_Cand_11328,7.627,0.244,Low-Confidence (Filtered Out)
WT_Cand_11329,5.934,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11330,6.323,0.135,High-Confidence (Std <= 0.20)
WT_Cand_11331,7.252,0.107,High-Confidence (Std <= 0.20)
WT_Cand_11332,7.243,0.096,High-Confidence (Std <= 0.20)
WT_Cand_11333,7.434,0.161,High-Confidence (Std <= 0.20)
WT_Cand_11334,8.115,0.313,Low-Confidence (Filtered Out)
WT_Cand_11335,5.211,0.209,Low-Confidence (Filtered Out)
WT_Cand_11336,5.729,0.368,Low-Confidence (Filtered Out)
WT_Cand_11337,7.114,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11338,6.017,0.222,Low-Confidence (Filtered Out)
WT_Cand_11339,10.734,0.181,High-Confidence (Std <= 0.20)
WT_Cand_11340,7.443,0.309,Low-Confidence (Filtered Out)
WT_Cand_11341,6.76,0.233,Low-Confidence (Filtered Out)
WT_Cand_11342,6.257,0.355,Low-Confidence (Filtered Out)
WT_Cand_11343,6.298,0.076,High-Confidence (Std <= 0.20)
WT_Cand_11344,6.885,0.457,Low-Confidence (Filtered Out)
WT_Cand_11345,6.979,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11346,6.325,0.085,High-Confidence (Std <= 0.20)
WT_Cand_11347,6.536,0.215,Low-Confidence (Filtered Out)
WT_Cand_11348,8.396,0.01,High-Confidence (Std <= 0.20)
WT_Cand_11349,8.442,0.135,High-Confidence (Std <= 0.20)
WT_Cand_11350,7.14,0.067,High-Confidence (Std <= 0.20)
WT_Cand_11351,5.308,0.049,High-Confidence (Std <= 0.20)
WT_Cand_11352,7.469,0.066,High-Confidence (Std <= 0.20)
WT_Cand_11353,8.637,0.092,High-Confidence (Std <= 0.20)
WT_Cand_11354,8.425,0.066,High-Confidence (Std <= 0.20)
WT_Cand_11355,7.695,0.045,High-Confidence (Std <= 0.20)
WT_Cand_11356,8.486,0.094,High-Confidence (Std <= 0.20)
WT_Cand_11357,6.911,0.033,High-Confidence (Std <= 0.20)
WT_Cand_11358,7.572,0.22,Low-Confidence (Filtered Out)
WT_Cand_11359,6.067,0.085,High-Confidence (Std <= 0.20)
WT_Cand_11360,7.186,0.048,High-Confidence (Std <= 0.20)
WT_Cand_11361,8.379,0.249,Low-Confidence (Filtered Out)
WT_Cand_11362,6.172,0.221,Low-Confidence (Filtered Out)
WT_Cand_11363,5.859,0.058,High-Confidence (Std <= 0.20)
WT_Cand_11364,6.962,0.552,Low-Confidence (Filtered Out)
WT_Cand_11365,6.589,0.497,Low-Confidence (Filtered Out)
WT_Cand_11366,7.597,0.261,Low-Confidence (Filtered Out)
WT_Cand_11367,6.329,0.358,Low-Confidence (Filtered Out)
WT_Cand_11368,8.826,0.044,High-Confidence (Std <= 0.20)
WT_Cand_11369,5.367,0.202,Low-Confidence (Filtered Out)
WT_Cand_11370,8.292,0.128,High-Confidence (Std <= 0.20)
WT_Cand_11371,5.97,0.206,Low-Confidence (Filtered Out)
WT_Cand_11372,4.785,0.236,Low-Confidence (Filtered Out)
WT_Cand_11373,7.124,0.239,Low-Confidence (Filtered Out)
WT_Cand_11374,6.557,0.064,High-Confidence (Std <= 0.20)
WT_Cand_11375,5.574,0.746,Low-Confidence (Filtered Out)
WT_Cand_11376,4.916,0.148,High-Confidence (Std <= 0.20)
WT_Cand_11377,6.84,0.04,High-Confidence (Std <= 0.20)
WT_Cand_11378,7.972,0.29,Low-Confidence (Filtered Out)
WT_Cand_11379,7.523,0.07,High-Confidence (Std <= 0.20)
WT_Cand_11380,6.915,0.146,High-Confidence (Std <= 0.20)
WT_Cand_11381,7.401,0.106,High-Confidence (Std <= 0.20)
WT_Cand_11382,6.819,0.208,Low-Confidence (Filtered Out)
WT_Cand_11383,5.206,0.354,Low-Confidence (Filtered Out)
WT_Cand_11384,5.216,0.174,High-Confidence (Std <= 0.20)
WT_Cand_11385,6.616,0.09,High-Confidence (Std <= 0.20)
WT_Cand_11386,6.665,0.51,Low-Confidence (Filtered Out)
WT_Cand_11387,7.829,0.405,Low-Confidence (Filtered Out)
WT_Cand_11388,7.721,0.757,Low-Confidence (Filtered Out)
WT_Cand_11389,7.546,0.083,High-Confidence (Std <= 0.20)
WT_Cand_11390,6.528,0.044,High-Confidence (Std <= 0.20)
WT_Cand_11391,5.262,0.022,High-Confidence (Std <= 0.20)
WT_Cand_11392,7.324,0.108,High-Confidence (Std <= 0.20)
WT_Cand_11393,7.454,0.186,High-Confidence (Std <= 0.20)
WT_Cand_11394,4.103,0.065,High-Confidence (Std <= 0.20)
WT_Cand_11395,5.891,0.043,High-Confidence (Std <= 0.20)
WT_Cand_11396,6.055,0.21,Low-Confidence (Filtered Out)
WT_Cand_11397,6.986,0.344,Low-Confidence (Filtered Out)
WT_Cand_11398,5.926,0.007,High-Confidence (Std <= 0.20)
WT_Cand_11399,6.806,0.008,High-Confidence (Std <= 0.20)
WT_Cand_11400,6.608,0.143,High-Confidence (Std <= 0.20)
WT_Cand_11401,6.667,0.241,Low-Confidence (Filtered Out)
WT_Cand_11402,6.026,0.051,High-Confidence (Std <= 0.20)
WT_Cand_11403,6.115,0.027,High-Confidence (Std <= 0.20)
WT_Cand_11404,5.608,0.32,Low-Confidence (Filtered Out)
WT_Cand_11405,7.287,0.141,High-Confidence (Std <= 0.20)
WT_Cand_11406,7.507,0.057,High-Confidence (Std <= 0.20)
WT_Cand_11407,5.964,0.534,Low-Confidence (Filtered Out)
WT_Cand_11408,8.599,0.254,Low-Confidence (Filtered Out)
WT_Cand_11409,6.488,0.127,High-Confidence (Std <= 0.20)
WT_Cand_11410,8.61,0.3,Low-Confidence (Filtered Out)
WT_Cand_11411,6.112,0.021,High-Confidence (Std <= 0.20)
WT_Cand_11412,4.519,0.094,High-Confidence (Std <= 0.20)
WT_Cand_11413,7.313,0.075,High-Confidence (Std <= 0.20)
WT_Cand_11414,7.136,0.108,High-Confidence (Std <= 0.20)
WT_Cand_11415,6.89,0.407,Low-Confidence (Filtered Out)
WT_Cand_11416,6.111,0.468,Low-Confidence (Filtered Out)
WT_Cand_11417,6.81,0.173,High-Confidence (Std <= 0.20)
WT_Cand_11418,6.262,0.079,High-Confidence (Std <= 0.20)
WT_Cand_11419,6.502,0.038,High-Confidence (Std <= 0.20)
WT_Cand_11420,7.818,0.425,Low-Confidence (Filtered Out)
WT_Cand_11421,7.062,0.219,Low-Confidence (Filtered Out)
WT_Cand_11422,7.551,0.066,High-Confidence (Std <= 0.20)
WT_Cand_11423,6.583,0.073,High-Confidence (Std <= 0.20)
WT_Cand_11424,6.457,0.166,High-Confidence (Std <= 0.20)
WT_Cand_11425,5.523,0.02,High-Confidence (Std <= 0.20)
WT_Cand_11426,6.424,0.118,High-Confidence (Std <= 0.20)
WT_Cand_11427,3.031,0.062,High-Confidence (Std <= 0.20)
WT_Cand_11428,6.171,0.307,Low-Confidence (Filtered Out)
WT_Cand_11429,6.756,0.16,High-Confidence (Std <= 0.20)
WT_Cand_11430,7.498,0.082,High-Confidence (Std <= 0.20)
WT_Cand_11431,6.541,0.054,High-Confidence (Std <= 0.20)
WT_Cand_11432,7.25,0.514,Low-Confidence (Filtered Out)
WT_Cand_11433,4.343,0.443,Low-Confidence (Filtered Out)
WT_Cand_11434,6.785,0.001,High-Confidence (Std <= 0.20)
WT_Cand_11435,4.919,0.471,Low-Confidence (Filtered Out)
WT_Cand_11436,5.46,0.048,High-Confidence (Std <= 0.20)
WT_Cand_11437,6.635,0.191,High-Confidence (Std <= 0.20)
WT_Cand_11438,8.318,0.167,High-Confidence (Std <= 0.20)
WT_Cand_11439,7.277,0.039,High-Confidence (Std <= 0.20)
WT_Cand_11440,6.871,0.27,Low-Confidence (Filtered Out)
WT_Cand_11441,6.828,0.057,High-Confidence (Std <= 0.20)
WT_Cand_11442,6.029,0.166,High-Confidence (Std <= 0.20)
WT_Cand_11443,6.224,0.631,Low-Confidence (Filtered Out)
WT_Cand_11444,7.341,0.111,High-Confidence (Std <= 0.20)
WT_Cand_11445,5.257,0.133,High-Confidence (Std <= 0.20)
WT_Cand_11446,7.532,0.127,High-Confidence (Std <= 0.20)
WT_Cand_11447,6.403,0.067,High-Confidence (Std <= 0.20)
WT_Cand_11448,7.799,0.013,High-Confidence (Std <= 0.20)
WT_Cand_11449,7.955,0.112,High-Confidence (Std <= 0.20)
WT_Cand_11450,4.926,0.026,High-Confidence (Std <= 0.20)
WT_Cand_11451,6.181,0.243,Low-Confidence (Filtered Out)
WT_Cand_11452,5.866,0.113,High-Confidence (Std <= 0.20)
WT_Cand_11453,4.765,0.445,Low-Confidence (Filtered Out)
WT_Cand_11454,5.663,0.092,High-Confidence (Std <= 0.20)
WT_Cand_11455,9.657,0.136,High-Confidence (Std <= 0.20)
WT_Cand_11456,7.551,0.142,High-Confidence (Std <= 0.20)
WT_Cand_11457,9.055,0.33,Low-Confidence (Filtered Out)
WT_Cand_11458,7.803,0.131,High-Confidence (Std <= 0.20)
WT_Cand_11459,5.997,0.097,High-Confidence (Std <= 0.20)
WT_Cand_11460,6.411,0.081,High-Confidence (Std <= 0.20)
WT_Cand_11461,7.527,0.071,High-Confidence (Std <= 0.20)
WT_Cand_11462,7.353,0.03,High-Confidence (Std <= 0.20)
WT_Cand_11463,6.186,0.09,High-Confidence (Std <= 0.20)
WT_Cand_11464,5.114,0.108,High-Confidence (Std <= 0.20)
WT_Cand_11465,10.631,0.331,Low-Confidence (Filtered Out)
WT_Cand_11466,6.688,0.321,Low-Confidence (Filtered Out)
WT_Cand_11467,6.475,0.084,High-Confidence (Std <= 0.20)
WT_Cand_11468,6.98,0.027,High-Confidence (Std <= 0.20)
WT_Cand_11469,6.571,0.053,High-Confidence (Std <= 0.20)
WT_Cand_11470,6.991,0.171,High-Confidence (Std <= 0.20)
WT_Cand_11471,8.33,0.062,High-Confidence (Std <= 0.20)
WT_Cand_11472,6.707,0.144,High-Confidence (Std <= 0.20)
WT_Cand_11473,5.513,0.011,High-Confidence (Std <= 0.20)
WT_Cand_11474,6.664,0.368,Low-Confidence (Filtered Out)
WT_Cand_11475,6.316,0.125,High-Confidence (Std <= 0.20)
WT_Cand_11476,8.487,0.106,High-Confidence (Std <= 0.20)
WT_Cand_11477,8.197,0.244,Low-Confidence (Filtered Out)
WT_Cand_11478,6.974,0.093,High-Confidence (Std <= 0.20)
WT_Cand_11479,5.379,0.014,High-Confidence (Std <= 0.20)
WT_Cand_11480,5.44,0.116,High-Confidence (Std <= 0.20)
WT_Cand_11481,6.867,0.126,High-Confidence (Std <= 0.20)
WT_Cand_11482,7.237,0.159,High-Confidence (Std <= 0.20)
WT_Cand_11483,6.419,0.542,Low-Confidence (Filtered Out)
WT_Cand_11484,6.298,0.215,Low-Confidence (Filtered Out)
WT_Cand_11485,6.168,0.146,High-Confidence (Std <= 0.20)
WT_Cand_11486,6.823,0.26,Low-Confidence (Filtered Out)
WT_Cand_11487,4.11,0.016,High-Confidence (Std <= 0.20)
WT_Cand_11488,5.583,0.349,Low-Confidence (Filtered Out)
WT_Cand_11489,6.129,0.242,Low-Confidence (Filtered Out)
WT_Cand_11490,8.239,0.369,Low-Confidence (Filtered Out)
WT_Cand_11491,5.914,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11492,7.058,0.187,High-Confidence (Std <= 0.20)
WT_Cand_11493,7.111,0.099,High-Confidence (Std <= 0.20)
WT_Cand_11494,8.343,0.515,Low-Confidence (Filtered Out)
WT_Cand_11495,8.302,0.106,High-Confidence (Std <= 0.20)
WT_Cand_11496,6.784,0.044,High-Confidence (Std <= 0.20)
WT_Cand_11497,6.303,0.054,High-Confidence (Std <= 0.20)
WT_Cand_11498,6.087,0.161,High-Confidence (Std <= 0.20)
WT_Cand_11499,6.573,0.235,Low-Confidence (Filtered Out)
WT_Cand_11500,6.351,0.055,High-Confidence (Std <= 0.20)
WT_Cand_11501,7.487,0.222,Low-Confidence (Filtered Out)
WT_Cand_11502,7.333,0.347,Low-Confidence (Filtered Out)
WT_Cand_11503,7.531,0.313,Low-Confidence (Filtered Out)
WT_Cand_11504,8.298,0.219,Low-Confidence (Filtered Out)
WT_Cand_11505,8.992,0.24,Low-Confidence (Filtered Out)
WT_Cand_11506,6.993,0.2,High-Confidence (Std <= 0.20)
WT_Cand_11507,8.114,0.019,High-Confidence (Std <= 0.20)
WT_Cand_11508,6.446,0.275,Low-Confidence (Filtered Out)
WT_Cand_11509,8.213,0.091,High-Confidence (Std <= 0.20)
WT_Cand_11510,8.071,0.333,Low-Confidence (Filtered Out)
WT_Cand_11511,8.01,0.071,High-Confidence (Std <= 0.20)
WT_Cand_11512,6.958,0.102,High-Confidence (Std <= 0.20)
WT_Cand_11513,6.081,0.174,High-Confidence (Std <= 0.20)
WT_Cand_11514,5.246,0.654,Low-Confidence (Filtered Out)
WT_Cand_11515,6.804,0.181,High-Confidence (Std <= 0.20)
WT_Cand_11516,8.613,0.181,High-Confidence (Std <= 0.20)
WT_Cand_11517,6.494,0.047,High-Confidence (Std <= 0.20)
WT_Cand_11518,7.753,0.034,High-Confidence (Std <= 0.20)
WT_Cand_11519,7.821,0.087,High-Confidence (Std <= 0.20)
WT_Cand_11520,6.524,0.234,Low-Confidence (Filtered Out)
WT_Cand_11521,8.364,0.181,High-Confidence (Std <= 0.20)
WT_Cand_11522,3.505,0.137,High-Confidence (Std <= 0.20)
WT_Cand_11523,5.444,0.095,High-Confidence (Std <= 0.20)
WT_Cand_11524,5.797,0.275,Low-Confidence (Filtered Out)
WT_Cand_11525,5.907,0.438,Low-Confidence (Filtered Out)
WT_Cand_11526,7.237,0.26,Low-Confidence (Filtered Out)
WT_Cand_11527,7.184,0.373,Low-Confidence (Filtered Out)
WT_Cand_11528,7.303,0.126,High-Confidence (Std <= 0.20)
WT_Cand_11529,7.535,0.236,Low-Confidence (Filtered Out)
WT_Cand_11530,5.757,0.555,Low-Confidence (Filtered Out)
WT_Cand_11531,5.449,0.371,Low-Confidence (Filtered Out)
WT_Cand_11532,7.306,0.49,Low-Confidence (Filtered Out)
WT_Cand_11533,6.125,0.379,Low-Confidence (Filtered Out)
WT_Cand_11534,5.044,0.453,Low-Confidence (Filtered Out)
WT_Cand_11535,7.967,0.092,High-Confidence (Std <= 0.20)
WT_Cand_11536,8.454,0.07,High-Confidence (Std <= 0.20)
WT_Cand_11537,8.641,0.121,High-Confidence (Std <= 0.20)
WT_Cand_11538,7.065,0.102,High-Confidence (Std <= 0.20)
WT_Cand_11539,7.57,0.081,High-Confidence (Std <= 0.20)
WT_Cand_11540,8.425,0.455,Low-Confidence (Filtered Out)
WT_Cand_11541,6.112,0.037,High-Confidence (Std <= 0.20)
WT_Cand_11542,8.127,0.374,Low-Confidence (Filtered Out)
WT_Cand_11543,7.167,0.251,Low-Confidence (Filtered Out)
WT_Cand_11544,7.901,0.097,High-Confidence (Std <= 0.20)
WT_Cand_11545,7.064,0.084,High-Confidence (Std <= 0.20)
WT_Cand_11546,8.341,0.064,High-Confidence (Std <= 0.20)
WT_Cand_11547,7.107,0.062,High-Confidence (Std <= 0.20)
WT_Cand_11548,5.143,0.073,High-Confidence (Std <= 0.20)
WT_Cand_11549,8.52,0.066,High-Confidence (Std <= 0.20)
WT_Cand_11550,5.76,0.096,High-Confidence (Std <= 0.20)
WT_Cand_11551,8.291,0.072,High-Confidence (Std <= 0.20)
WT_Cand_11552,6.746,0.083,High-Confidence (Std <= 0.20)
WT_Cand_11553,8.202,0.618,Low-Confidence (Filtered Out)
WT_Cand_11554,8.155,0.23,Low-Confidence (Filtered Out)
WT_Cand_11555,7.345,0.412,Low-Confidence (Filtered Out)
WT_Cand_11556,7.435,0.038,High-Confidence (Std <= 0.20)
WT_Cand_11557,7.336,0.079,High-Confidence (Std <= 0.20)
WT_Cand_11558,4.534,0.059,High-Confidence (Std <= 0.20)
WT_Cand_11559,6.986,0.662,Low-Confidence (Filtered Out)
WT_Cand_11560,5.567,0.304,Low-Confidence (Filtered Out)
WT_Cand_11561,7.047,0.128,High-Confidence (Std <= 0.20)
WT_Cand_11562,5.536,0.341,Low-Confidence (Filtered Out)
WT_Cand_11563,5.487,0.123,High-Confidence (Std <= 0.20)
WT_Cand_11564,8.696,0.127,High-Confidence (Std <= 0.20)
WT_Cand_11565,8.08,0.071,High-Confidence (Std <= 0.20)
WT_Cand_11566,6.845,0.111,High-Confidence (Std <= 0.20)
WT_Cand_11567,7.062,0.137,High-Confidence (Std <= 0.20)
WT_Cand_11568,6.565,0.055,High-Confidence (Std <= 0.20)
WT_Cand_11569,7.505,0.383,Low-Confidence (Filtered Out)
WT_Cand_11570,6.073,0.36,Low-Confidence (Filtered Out)
WT_Cand_11571,7.993,0.081,High-Confidence (Std <= 0.20)
WT_Cand_11572,6.559,0.012,High-Confidence (Std <= 0.20)
WT_Cand_11573,6.367,0.121,High-Confidence (Std <= 0.20)
WT_Cand_11574,6.875,0.128,High-Confidence (Std <= 0.20)
WT_Cand_11575,6.17,0.307,Low-Confidence (Filtered Out)
WT_Cand_11576,7.228,0.159,High-Confidence (Std <= 0.20)
WT_Cand_11577,6.232,0.018,High-Confidence (Std <= 0.20)
WT_Cand_11578,7.389,0.118,High-Confidence (Std <= 0.20)
WT_Cand_11579,8.248,0.167,High-Confidence (Std <= 0.20)
WT_Cand_11580,6.023,0.076,High-Confidence (Std <= 0.20)
WT_Cand_11581,6.7,0.324,Low-Confidence (Filtered Out)
WT_Cand_11582,7.381,0.323,Low-Confidence (Filtered Out)
WT_Cand_11583,6.349,0.152,High-Confidence (Std <= 0.20)
WT_Cand_11584,7.384,0.377,Low-Confidence (Filtered Out)
WT_Cand_11585,7.489,0.007,High-Confidence (Std <= 0.20)
WT_Cand_11586,8.096,0.198,High-Confidence (Std <= 0.20)
WT_Cand_11587,6.153,0.208,Low-Confidence (Filtered Out)
WT_Cand_11588,5.766,0.102,High-Confidence (Std <= 0.20)
WT_Cand_11589,6.496,0.111,High-Confidence (Std <= 0.20)
WT_Cand_11590,5.737,0.086,High-Confidence (Std <= 0.20)
WT_Cand_11591,7.499,0.432,Low-Confidence (Filtered Out)
WT_Cand_11592,5.514,0.261,Low-Confidence (Filtered Out)
WT_Cand_11593,9.533,0.147,High-Confidence (Std <= 0.20)
WT_Cand_11594,8.34,0.129,High-Confidence (Std <= 0.20)
WT_Cand_11595,6.864,0.454,Low-Confidence (Filtered Out)
WT_Cand_11596,7.848,0.011,High-Confidence (Std <= 0.20)
WT_Cand_11597,4.968,0.012,High-Confidence (Std <= 0.20)
WT_Cand_11598,9.752,0.619,Low-Confidence (Filtered Out)
WT_Cand_11599,6.171,0.11,High-Confidence (Std <= 0.20)
WT_Cand_11600,6.711,0.035,High-Confidence (Std <= 0.20)
WT_Cand_11601,4.716,0.013,High-Confidence (Std <= 0.20)
WT_Cand_11602,7.409,0.466,Low-Confidence (Filtered Out)
WT_Cand_11603,5.578,0.052,High-Confidence (Std <= 0.20)
WT_Cand_11604,6.967,0.042,High-Confidence (Std <= 0.20)
WT_Cand_11605,6.224,0.191,High-Confidence (Std <= 0.20)
WT_Cand_11606,5.611,0.277,Low-Confidence (Filtered Out)
WT_Cand_11607,5.925,0.184,High-Confidence (Std <= 0.20)
WT_Cand_11608,7.11,0.184,High-Confidence (Std <= 0.20)
WT_Cand_11609,5.376,0.06,High-Confidence (Std <= 0.20)
WT_Cand_11610,5.989,0.192,High-Confidence (Std <= 0.20)
WT_Cand_11611,7.613,0.404,Low-Confidence (Filtered Out)
WT_Cand_11612,9.843,0.205,Low-Confidence (Filtered Out)
WT_Cand_11613,7.399,0.067,High-Confidence (Std <= 0.20)
